ma_cua_hang,ma_mh,so_luong_trong_kho,thoi_gian
37,412793,25,2025-04-21 11:40:19
37,424793,33,2024-06-28 23:30:21
37,426448,43,2024-08-27 22:22:35
37,428783,78,2024-12-24 22:21:00
37,429190,62,2024-08-06 07:14:40
37,429790,17,2025-03-06 20:53:41
37,433078,36,2024-06-04 09:17:29
37,443117,48,2024-11-25 18:40:36
37,452634,98,2025-04-15 07:13:10
37,467859,47,2024-08-08 10:55:39
37,486832,27,2025-01-13 21:25:50
37,493091,35,2024-06-30 10:39:23
37,495838,93,2024-11-14 03:22:40
37,502154,72,2025-04-11 16:16:00
37,503268,71,2024-05-17 06:43:26
37,508291,89,2025-02-21 11:36:08
37,560892,30,2024-10-03 01:09:37
37,567442,95,2025-02-01 11:49:02
37,571744,78,2024-09-02 02:28:16
37,619331,42,2025-02-13 06:58:37
37,620285,75,2024-11-06 09:49:44
37,624178,63,2024-11-14 08:20:37
37,634643,3,2025-04-01 20:19:29
37,639969,35,2025-03-26 12:27:07
37,659155,69,2024-08-28 21:08:28
37,661648,16,2025-02-18 13:43:04
37,663724,20,2024-10-08 11:56:08
37,685132,71,2025-01-09 15:07:28
37,693399,98,2025-03-05 09:07:34
37,703477,64,2024-09-20 17:01:19
37,742100,33,2024-06-20 04:51:37
37,743387,95,2024-11-11 22:33:31
37,749560,43,2024-11-30 13:19:24
37,774164,2,2024-09-15 20:50:38
37,775155,80,2024-06-18 21:48:35
37,780073,9,2024-10-22 01:45:37
37,803209,61,2024-05-24 08:02:05
37,804682,50,2025-02-01 04:55:19
37,806433,1,2025-01-10 09:14:35
37,817307,46,2024-08-17 09:13:34
37,819013,40,2025-03-11 03:14:49
37,819495,68,2025-01-26 10:45:57
37,836608,51,2025-03-07 02:33:12
37,846078,25,2024-06-10 01:39:10
37,857610,67,2025-04-10 11:49:58
37,859860,84,2024-12-08 20:03:22
37,861338,16,2024-11-16 11:05:04
37,861633,34,2025-04-08 09:29:39
37,862412,36,2024-05-24 10:03:26
37,873523,17,2024-10-28 23:12:30
37,874725,76,2025-01-31 12:15:43
37,880382,78,2024-09-28 07:50:26
37,888860,68,2025-02-19 06:33:34
37,890722,16,2024-08-07 18:44:08
37,903819,49,2024-08-07 04:06:59
37,910815,2,2024-06-15 02:22:33
37,951707,72,2024-07-22 11:44:18
37,953398,94,2024-07-12 10:13:39
37,956924,39,2024-11-20 01:34:11
37,961202,62,2024-12-07 10:44:41
37,987166,86,2024-05-04 12:44:10
37,993443,12,2024-08-26 18:29:11
37,997077,70,2025-04-20 17:41:03
65,19855,8,2025-04-21 20:10:05
65,20561,24,2024-12-17 15:35:20
65,35736,73,2025-01-05 03:47:33
65,39324,70,2024-12-23 16:51:28
65,44122,92,2024-06-05 23:05:00
65,61694,42,2024-09-07 02:31:31
65,63158,90,2024-11-22 19:48:07
65,64551,98,2024-11-30 17:33:03
65,77784,96,2024-12-07 20:35:52
65,83450,36,2024-08-19 09:21:35
65,101973,51,2024-08-03 22:37:49
65,107919,75,2024-10-12 17:59:52
65,115815,36,2025-02-02 04:14:48
65,123551,90,2024-10-02 06:36:43
65,124782,78,2024-09-28 09:39:44
65,140286,35,2024-05-01 21:12:51
65,144710,78,2024-08-04 13:30:50
65,146417,44,2024-05-14 06:18:28
65,151990,85,2024-10-12 14:20:52
65,156285,53,2024-08-19 12:46:17
65,156690,29,2024-06-05 23:44:56
65,166243,70,2024-06-06 01:29:27
65,173337,100,2024-06-17 23:28:49
65,207035,87,2024-06-22 23:46:08
65,210111,81,2024-07-16 14:58:41
65,212761,46,2025-02-20 18:08:26
65,239735,25,2025-02-20 16:57:10
65,243896,26,2024-10-19 19:01:48
65,254493,62,2025-04-07 09:37:16
65,263617,58,2024-11-19 13:42:02
65,265234,5,2025-03-23 11:01:03
65,278974,93,2024-07-01 20:48:17
65,289046,73,2024-09-16 10:44:59
65,312303,38,2025-01-11 23:22:39
65,319973,41,2025-01-31 00:20:38
65,321724,79,2025-01-08 14:25:57
65,329690,14,2025-01-25 05:05:28
65,334900,82,2024-06-08 14:15:53
65,339256,75,2024-09-17 00:47:52
65,347400,10,2024-08-29 10:02:10
65,350405,95,2024-08-11 08:32:31
65,354648,3,2024-08-29 04:28:35
65,360151,92,2025-02-03 11:38:46
65,368225,20,2024-05-17 11:26:23
65,382085,81,2024-11-25 11:07:21
65,402768,74,2024-10-31 15:03:55
65,415242,15,2024-07-26 12:27:58
65,427047,76,2024-12-31 23:24:09
65,428783,14,2024-10-10 04:32:38
65,429190,94,2024-10-25 14:42:31
65,437539,3,2025-02-23 16:38:30
65,445324,78,2025-04-24 21:40:49
65,462934,19,2024-05-01 10:06:54
65,464457,57,2025-04-05 07:29:15
65,469476,16,2024-11-05 11:58:46
65,475422,42,2024-11-22 08:34:51
65,477937,88,2024-06-30 22:55:55
65,481913,53,2025-03-03 04:52:36
65,482482,71,2024-09-18 10:42:36
65,483832,65,2025-02-09 04:04:32
65,483926,88,2024-09-08 17:35:57
65,493091,10,2025-02-23 09:14:00
65,495838,81,2025-02-09 07:02:19
65,499828,15,2024-05-09 03:54:24
65,505326,87,2025-03-03 16:21:52
65,511652,47,2024-11-30 19:15:59
65,513084,97,2025-04-25 14:45:05
65,518373,83,2024-09-30 21:15:42
65,519886,39,2024-07-27 06:38:32
65,520791,71,2024-11-20 09:03:33
65,523522,91,2024-07-06 17:40:39
65,529438,54,2024-12-08 21:33:54
65,530811,81,2024-10-10 12:29:45
65,537868,32,2024-12-23 17:12:32
65,545338,53,2024-08-26 03:25:23
65,565073,1,2025-04-15 11:19:45
65,567442,84,2025-03-25 11:46:34
65,570683,93,2024-11-10 09:08:34
65,577636,81,2024-08-14 16:36:48
65,590400,11,2024-06-20 12:53:17
65,591704,45,2024-12-04 08:03:06
65,593611,54,2024-10-04 12:14:41
65,597707,62,2025-02-10 08:59:34
65,606061,38,2024-05-29 17:36:58
65,618538,85,2024-10-31 05:51:22
65,619331,4,2024-07-23 01:55:59
65,622733,82,2025-03-13 20:15:38
65,627742,95,2024-06-06 02:36:44
65,631124,32,2024-07-19 08:46:43
65,636574,86,2024-11-13 15:51:17
65,646865,91,2024-10-09 12:07:51
65,650716,8,2025-03-19 10:58:59
65,656036,1,2024-09-08 21:25:27
65,662756,29,2025-02-21 01:54:18
65,665127,32,2025-04-07 06:02:25
65,684691,69,2024-09-20 16:08:39
65,685525,49,2024-07-20 21:46:42
65,688772,42,2024-12-08 19:50:56
65,709739,93,2024-06-22 02:30:38
65,714575,96,2024-08-16 22:24:46
65,718213,21,2024-09-12 13:38:15
65,740144,2,2024-07-13 04:10:24
65,748180,54,2024-07-24 16:54:55
65,750941,79,2024-05-30 06:39:05
65,757399,62,2024-06-10 11:22:19
65,760708,11,2025-01-07 00:00:38
65,762264,61,2024-10-21 09:00:46
65,762884,75,2024-07-18 08:56:26
65,773717,91,2025-03-09 15:18:15
65,792689,8,2025-01-01 11:45:05
65,806712,57,2025-03-26 21:27:52
65,823913,53,2025-04-09 04:09:49
65,837906,52,2024-10-20 00:12:50
65,839351,89,2025-02-08 18:35:13
65,848100,61,2025-01-14 11:35:03
65,849797,31,2024-08-03 19:35:20
65,853993,33,2024-08-26 09:27:33
65,855402,61,2024-06-10 13:22:43
65,859860,62,2024-10-12 07:57:09
65,860400,77,2025-04-19 07:44:43
65,861338,80,2024-07-26 00:54:58
65,890722,22,2024-11-26 19:09:21
65,905647,25,2024-11-23 00:42:33
65,912164,14,2024-11-21 18:04:11
65,923075,92,2025-03-27 05:31:00
65,988068,79,2024-09-03 02:15:14
196,1038,63,2025-01-07 17:45:12
196,9489,99,2025-03-07 10:59:33
196,21039,7,2025-03-07 05:04:39
196,29505,77,2024-09-03 18:24:00
196,31763,77,2024-11-21 11:06:54
196,32876,28,2024-05-16 12:18:09
196,39757,21,2025-01-04 01:58:50
196,44122,8,2024-10-30 04:16:23
196,47208,39,2025-02-01 07:18:55
196,48713,76,2024-08-08 02:05:00
196,55072,9,2025-02-15 19:04:28
196,56818,1,2025-03-07 15:33:34
196,58317,90,2024-05-14 00:39:32
196,65034,27,2024-12-16 00:53:04
196,76460,61,2024-06-21 16:25:35
196,76500,83,2025-03-27 12:05:47
196,86425,31,2025-04-21 13:50:06
196,88850,41,2025-01-17 22:08:46
196,101936,91,2024-12-24 06:36:24
196,104115,83,2025-01-01 17:29:39
196,108282,2,2024-08-09 12:30:12
196,127469,32,2025-02-22 03:42:38
196,128215,47,2024-06-08 12:09:49
196,131930,88,2024-09-19 18:13:03
196,135463,51,2025-01-16 11:28:35
196,144710,3,2024-10-12 18:51:23
196,146417,55,2024-05-11 03:06:58
196,157529,27,2025-04-14 17:25:27
196,168181,19,2024-10-27 12:15:34
196,179512,71,2024-10-14 02:36:09
196,187093,81,2025-02-02 12:36:27
196,188554,52,2024-08-04 18:10:06
196,193997,42,2024-07-03 20:47:35
196,232761,91,2024-06-28 15:20:52
196,254598,72,2024-05-21 10:12:28
196,258228,34,2024-12-03 19:16:50
196,288123,15,2024-09-10 18:21:08
196,290498,22,2025-04-09 01:25:54
196,296320,13,2024-10-06 09:30:41
196,300460,70,2024-08-16 06:40:50
196,301094,31,2024-08-05 14:01:05
196,309931,40,2024-07-05 17:20:05
196,312303,88,2024-12-25 18:13:57
196,322443,29,2025-01-27 01:12:44
196,329690,16,2024-11-30 13:56:35
196,341512,83,2024-10-19 05:25:18
196,344772,70,2024-11-13 00:20:57
196,359869,86,2025-04-08 06:11:38
196,374403,93,2024-07-31 15:43:29
196,379806,64,2025-01-16 23:57:34
196,382430,24,2025-02-13 05:20:53
196,388432,99,2024-06-02 20:37:46
196,396451,87,2025-01-19 08:49:39
196,396492,28,2024-09-06 10:07:02
196,402768,22,2025-03-13 02:02:07
196,402937,92,2024-07-09 21:18:20
196,426448,72,2025-02-28 23:19:57
196,427188,30,2025-04-16 01:38:45
196,428783,13,2025-03-22 02:46:59
196,429328,17,2024-10-17 19:47:59
196,431403,35,2024-12-21 14:24:52
196,433287,58,2024-12-16 11:50:14
196,455284,9,2025-01-14 17:41:46
196,464457,34,2025-01-09 12:29:58
196,466310,87,2025-01-28 01:55:03
196,477937,45,2024-12-08 20:23:01
196,508626,41,2024-04-30 08:38:10
196,516148,99,2025-03-23 15:33:51
196,520550,7,2024-09-02 03:34:14
196,524544,88,2025-03-19 23:43:25
196,544136,63,2024-08-14 09:41:29
196,547302,92,2024-12-10 03:19:54
196,558435,35,2025-02-19 19:11:26
196,573902,47,2024-09-12 11:51:10
196,575608,90,2024-08-04 03:50:25
196,577636,45,2024-06-16 16:59:29
196,581389,3,2024-06-18 13:21:43
196,588328,34,2024-09-01 19:24:28
196,604210,4,2024-08-14 10:04:02
196,612080,35,2024-10-10 06:51:09
196,620973,48,2024-05-08 21:20:50
196,621000,89,2024-05-17 03:18:39
196,628649,72,2025-01-07 06:42:01
196,634350,59,2024-05-07 17:56:33
196,639969,31,2024-12-17 06:27:17
196,640707,81,2024-06-26 00:20:48
196,642530,84,2025-01-13 19:11:09
196,647615,4,2024-05-23 06:53:08
196,660578,14,2025-04-15 08:07:05
196,662391,18,2025-01-28 20:51:19
196,663888,6,2024-11-19 05:35:44
196,666115,41,2025-03-11 12:58:41
196,684496,33,2024-07-06 14:26:43
196,684691,22,2025-04-16 00:32:24
196,685804,20,2024-05-11 03:47:23
196,688772,72,2024-05-06 03:24:00
196,712550,63,2025-03-20 04:42:22
196,715915,90,2025-03-05 13:48:40
196,722943,32,2024-10-10 19:46:36
196,737988,62,2024-07-09 12:20:55
196,742100,74,2024-06-01 01:03:33
196,757138,49,2024-04-29 07:30:04
196,760283,61,2024-08-29 10:31:27
196,762978,42,2024-09-30 20:40:05
196,773717,7,2024-09-24 21:14:40
196,785526,12,2024-07-14 16:00:18
196,787359,92,2024-11-05 02:20:13
196,793292,70,2025-02-25 21:03:20
196,798737,41,2024-10-24 15:23:41
196,813157,77,2024-12-20 13:57:14
196,815448,30,2025-04-28 07:28:47
196,820199,15,2024-09-24 06:35:46
196,820997,60,2024-12-19 15:18:39
196,823913,46,2024-07-17 19:45:02
196,833603,81,2024-11-14 07:06:35
196,848100,55,2025-04-23 10:15:42
196,853993,11,2025-01-17 12:13:53
196,859860,2,2024-07-23 21:22:24
196,861633,56,2024-11-16 04:40:56
196,874725,31,2024-11-18 23:20:11
196,877594,70,2024-10-06 06:23:40
196,885198,25,2025-03-21 05:07:08
196,887512,95,2024-09-22 13:28:06
196,896623,90,2025-03-07 23:34:43
196,905478,45,2025-02-02 01:51:08
196,907427,59,2024-07-23 12:55:13
196,910815,71,2024-05-17 01:02:43
196,912522,97,2024-06-16 21:44:51
196,920510,42,2025-04-21 04:03:34
196,926187,50,2024-11-25 23:08:08
196,956924,35,2024-07-27 16:30:50
196,965324,97,2024-12-13 07:57:36
196,967439,84,2025-04-16 09:17:13
196,969523,89,2025-03-20 10:02:02
196,974597,83,2025-02-02 23:46:35
196,988068,39,2025-01-09 03:57:09
196,990613,36,2024-12-26 16:59:20
215,12352,40,2024-09-09 09:04:28
215,19855,60,2024-08-22 03:00:52
215,29505,56,2025-02-25 05:18:08
215,52794,63,2024-05-16 15:36:23
215,63162,56,2025-01-18 01:07:48
215,74003,64,2024-05-25 01:41:48
215,74711,46,2024-12-08 03:37:55
215,74864,93,2024-12-04 07:23:05
215,77784,38,2024-08-26 21:54:12
215,97833,56,2024-11-30 19:56:31
215,104115,52,2025-03-08 16:07:19
215,121610,100,2024-08-28 03:07:11
215,124887,36,2024-12-29 16:20:20
215,135705,99,2025-01-04 23:25:29
215,137106,47,2025-01-02 11:26:14
215,137552,21,2024-06-26 08:34:35
215,145078,56,2025-01-02 14:23:43
215,156690,48,2024-05-07 14:29:06
215,157529,65,2024-09-12 21:20:34
215,177701,93,2024-10-11 10:39:39
215,184051,59,2025-02-01 19:47:20
215,194673,89,2024-09-02 19:09:53
215,196107,12,2024-07-07 13:43:16
215,207035,39,2025-04-13 11:37:17
215,215892,92,2024-11-23 21:32:37
215,218333,21,2025-02-20 21:03:54
215,220287,28,2024-10-15 04:41:40
215,221203,89,2024-07-04 22:54:02
215,231319,48,2024-08-24 16:19:13
215,239735,11,2024-09-24 04:00:59
215,254598,19,2025-01-05 19:18:41
215,263088,56,2024-12-15 15:47:04
215,263617,36,2025-01-04 18:00:16
215,270157,74,2024-05-10 19:09:55
215,284214,14,2025-01-31 13:16:21
215,288123,25,2025-02-09 17:04:20
215,288517,24,2024-04-29 23:04:06
215,290498,75,2024-12-30 03:53:49
215,298250,53,2024-07-10 15:00:00
215,309931,31,2025-01-30 16:55:30
215,320098,64,2024-12-15 15:46:35
215,320380,57,2025-03-10 02:05:26
215,337517,8,2024-09-30 15:01:19
215,346527,30,2024-12-11 07:22:58
215,350405,12,2024-08-01 04:33:20
215,379806,26,2024-05-13 01:42:08
215,386627,89,2024-11-14 21:17:40
215,390680,43,2024-08-08 19:36:35
215,401597,34,2024-05-20 23:00:56
215,402937,75,2024-10-17 14:42:14
215,409329,14,2024-09-02 23:32:14
215,422981,54,2025-01-11 18:08:35
215,425892,98,2025-03-18 22:11:43
215,427188,44,2024-11-03 07:15:01
215,429328,41,2025-01-25 14:13:09
215,431689,49,2024-10-12 15:52:45
215,439007,74,2025-02-28 13:31:06
215,453118,84,2024-10-04 00:55:28
215,461511,53,2024-10-02 19:13:32
215,462034,60,2025-02-27 15:58:22
215,477941,48,2025-03-17 21:22:57
215,488923,61,2025-02-15 01:20:44
215,520550,45,2024-11-10 12:49:06
215,523649,18,2024-09-24 17:52:22
215,527642,35,2024-08-03 09:28:56
215,541459,98,2024-11-13 06:56:13
215,542965,47,2024-08-26 16:01:07
215,544754,84,2025-03-27 09:48:47
215,550004,10,2024-12-04 16:24:42
215,553206,49,2024-10-09 12:51:08
215,558435,5,2024-05-25 17:11:11
215,563078,11,2024-05-06 00:31:09
215,573902,43,2024-11-05 20:11:37
215,576491,52,2025-03-26 07:56:56
215,578123,37,2024-11-11 08:41:35
215,582377,93,2024-07-19 08:17:57
215,592508,73,2025-03-26 09:29:41
215,597707,82,2025-03-13 05:08:56
215,600504,38,2024-10-04 20:10:56
215,612080,30,2024-09-01 10:54:10
215,614624,21,2024-10-26 15:03:03
215,618538,7,2024-08-17 15:29:34
215,623447,89,2025-04-01 19:08:54
215,638188,85,2024-05-06 14:19:26
215,638659,1,2025-04-21 04:14:22
215,642530,94,2024-10-30 20:35:11
215,647615,59,2025-01-02 07:00:43
215,655843,76,2024-06-03 04:01:59
215,656036,45,2025-03-24 06:42:57
215,663888,59,2024-08-05 11:44:08
215,682991,94,2024-09-28 08:41:17
215,683686,50,2024-12-18 22:29:33
215,685132,58,2024-09-22 05:24:00
215,702965,79,2024-08-29 07:31:20
215,709739,39,2024-05-22 12:55:51
215,725688,38,2025-03-05 16:04:47
215,744351,42,2025-04-16 16:06:41
215,760283,19,2024-07-26 20:31:35
215,760708,92,2024-09-23 22:38:33
215,767590,66,2025-04-28 00:52:06
215,776160,5,2024-06-06 03:23:33
215,777451,74,2025-01-25 20:43:43
215,777975,46,2024-07-17 08:30:30
215,790844,62,2024-09-12 04:44:44
215,792689,34,2024-10-25 10:09:01
215,823562,28,2025-04-09 12:06:33
215,840349,67,2025-02-25 16:48:56
215,866219,90,2024-08-19 00:03:34
215,879231,97,2024-11-22 16:30:54
215,879290,38,2025-01-01 23:15:04
215,907982,99,2024-06-01 23:41:47
215,910815,70,2024-12-03 12:22:15
215,911940,8,2024-07-08 06:31:12
215,912074,53,2025-02-21 13:01:12
215,916627,18,2025-03-21 20:06:20
215,938276,16,2024-07-17 06:53:41
215,939388,99,2024-07-19 18:40:49
215,950575,47,2024-05-16 06:39:01
215,951707,47,2025-04-20 09:44:18
215,954142,13,2025-04-12 21:54:24
215,961202,70,2024-05-02 21:26:19
215,961956,12,2024-11-14 15:52:59
215,967439,34,2024-05-15 21:11:03
215,981528,5,2025-04-06 01:58:22
215,997077,20,2024-11-12 02:46:52
291,5953,29,2024-12-16 21:24:53
291,8864,89,2024-07-30 17:52:55
291,12328,15,2024-10-09 21:44:06
291,19855,35,2025-01-25 07:00:04
291,30044,31,2024-09-20 18:00:30
291,44207,75,2025-03-16 14:31:18
291,47477,82,2024-06-25 12:06:16
291,57025,88,2024-11-07 03:50:33
291,64551,94,2024-08-16 13:05:50
291,79809,88,2025-01-11 02:02:39
291,82084,100,2024-12-21 08:06:01
291,84229,37,2024-07-19 21:58:36
291,97833,88,2024-09-20 09:40:34
291,121054,23,2024-06-02 15:09:21
291,122341,81,2025-04-11 08:50:58
291,128215,73,2024-06-29 20:24:01
291,141883,31,2024-06-23 20:09:51
291,144710,71,2024-10-25 21:11:07
291,146417,33,2024-10-21 18:11:25
291,156690,55,2024-05-03 12:37:30
291,166243,50,2025-03-30 06:57:20
291,167268,54,2024-11-16 00:06:56
291,169193,21,2024-05-17 00:11:55
291,174798,76,2024-05-13 04:18:33
291,181193,99,2024-12-22 16:07:34
291,213529,12,2024-05-25 06:18:34
291,219302,73,2024-12-21 05:41:32
291,227025,100,2024-07-21 01:25:17
291,228602,88,2025-01-11 20:15:53
291,231260,38,2024-11-09 03:32:51
291,237916,1,2025-01-23 17:41:31
291,243896,83,2025-03-07 07:36:19
291,250643,46,2024-11-26 19:18:33
291,271702,46,2024-06-09 00:57:20
291,308684,14,2024-07-08 16:45:31
291,313183,88,2024-08-07 17:45:42
291,322443,88,2024-05-24 10:18:54
291,346527,47,2025-03-19 18:38:08
291,357218,58,2025-03-22 12:03:02
291,359294,94,2025-02-12 15:31:14
291,359869,36,2024-12-21 02:42:27
291,375345,14,2024-06-19 01:11:54
291,390169,84,2024-05-06 04:14:17
291,396104,70,2024-10-10 07:14:30
291,402768,3,2024-12-07 06:45:53
291,403312,22,2024-06-09 11:03:06
291,421576,48,2024-05-18 02:02:31
291,427047,16,2024-12-19 22:37:00
291,429328,94,2024-07-19 13:38:48
291,429790,98,2025-04-12 11:17:49
291,433287,18,2024-11-22 14:03:11
291,439007,50,2025-03-06 09:58:15
291,445324,60,2024-11-21 00:04:24
291,460272,6,2024-10-21 02:12:56
291,461587,88,2024-10-04 11:43:33
291,462934,39,2024-10-22 01:08:21
291,475422,36,2024-07-27 01:54:40
291,477937,47,2025-04-07 11:12:32
291,481410,86,2025-01-30 21:47:45
291,483058,38,2024-08-14 19:49:50
291,486832,77,2024-07-09 01:53:49
291,496348,100,2025-01-17 16:02:49
291,499652,92,2024-12-15 10:52:31
291,503268,75,2025-04-26 17:06:53
291,509767,35,2025-01-12 16:03:50
291,519886,18,2024-11-01 16:25:34
291,523522,44,2024-12-29 10:12:22
291,527642,94,2025-01-07 13:49:38
291,529438,18,2024-05-13 16:21:18
291,530811,4,2024-12-05 18:29:46
291,538664,74,2024-10-09 17:19:39
291,541732,13,2024-10-10 22:51:09
291,544401,17,2024-05-10 21:03:41
291,553206,89,2024-08-25 16:07:13
291,558120,66,2024-05-10 19:03:18
291,559317,93,2025-01-13 16:24:23
291,560892,97,2024-09-12 06:45:30
291,568074,3,2024-11-06 23:10:58
291,570560,34,2025-03-19 20:08:24
291,573162,10,2024-05-26 13:25:55
291,575286,35,2024-05-26 16:31:02
291,575684,41,2024-07-24 00:21:09
291,584687,32,2024-10-20 06:53:33
291,588328,59,2024-12-10 16:33:20
291,590400,99,2024-12-14 00:11:47
291,614624,21,2024-08-30 07:16:35
291,623447,70,2024-05-23 11:47:25
291,646265,31,2024-10-25 00:23:46
291,646865,48,2025-01-23 22:57:31
291,651014,6,2024-04-30 02:05:47
291,656036,75,2024-10-02 22:49:40
291,666115,94,2025-02-18 21:17:40
291,685804,19,2024-05-26 09:23:43
291,698060,50,2025-03-24 06:55:10
291,702965,59,2025-02-11 09:42:55
291,704929,26,2024-05-02 13:41:44
291,714808,57,2024-10-29 20:38:56
291,741488,1,2024-11-29 23:23:59
291,747170,67,2024-11-07 00:23:28
291,750941,17,2024-07-01 14:08:18
291,760708,59,2024-11-12 16:01:25
291,762181,21,2024-09-23 12:15:23
291,813920,68,2024-11-15 13:30:46
291,819495,86,2024-07-22 06:43:26
291,819763,6,2024-12-13 00:59:03
291,834913,21,2025-01-23 16:54:23
291,848100,51,2024-06-20 01:51:28
291,861060,74,2024-06-08 18:04:47
291,875481,14,2025-04-28 03:56:27
291,880382,57,2024-08-24 19:27:56
291,880976,18,2025-04-15 09:57:52
291,891758,68,2025-01-04 21:04:18
291,892251,84,2024-12-02 18:59:59
291,912164,18,2024-07-15 10:11:24
291,912522,87,2024-08-10 07:45:14
291,916818,49,2024-12-24 02:08:53
291,923693,24,2024-07-10 11:25:22
291,926187,58,2025-03-01 17:26:41
291,956665,50,2024-07-19 13:22:55
291,961202,49,2024-10-27 00:43:20
291,969523,79,2024-11-03 03:37:36
291,991045,88,2024-11-11 17:31:00
419,1336,56,2024-11-08 14:52:36
419,8682,80,2024-05-17 13:45:38
419,20196,41,2024-07-15 05:14:42
419,29505,91,2025-02-06 00:10:52
419,35292,39,2024-07-20 10:55:43
419,37139,2,2024-11-27 16:27:59
419,42111,87,2024-07-04 04:52:00
419,58244,48,2024-06-18 14:31:50
419,61694,56,2025-03-31 12:19:15
419,63711,82,2025-01-04 12:19:32
419,64551,44,2024-11-06 09:38:52
419,77784,3,2024-11-07 08:46:31
419,82084,5,2024-08-26 18:21:27
419,82865,64,2024-10-01 05:12:20
419,111324,97,2024-09-11 10:25:54
419,115275,91,2024-11-05 08:35:41
419,132080,92,2025-01-30 15:49:27
419,135515,69,2024-08-25 04:38:46
419,135705,72,2024-10-24 16:47:14
419,166681,96,2024-08-12 15:31:57
419,193318,33,2024-10-17 19:10:43
419,194970,48,2024-10-28 12:14:43
419,198173,49,2024-09-17 00:47:55
419,212761,6,2025-04-18 16:49:07
419,214069,24,2024-11-11 12:39:25
419,218458,85,2024-10-09 21:10:05
419,243955,23,2024-11-11 16:03:42
419,245078,9,2024-12-13 23:15:33
419,246422,89,2024-09-12 08:41:18
419,258228,58,2025-03-09 06:46:20
419,270157,41,2024-08-05 23:23:28
419,270781,16,2024-12-11 16:57:52
419,288517,42,2024-12-04 23:15:27
419,306759,91,2024-07-26 02:33:19
419,312303,89,2025-01-17 10:47:52
419,334900,38,2025-02-03 04:09:33
419,335507,75,2024-07-29 08:58:46
419,344086,24,2024-10-27 01:25:56
419,346527,92,2024-11-21 10:06:51
419,347400,93,2024-11-29 01:28:40
419,357218,12,2025-01-26 04:53:34
419,361878,59,2024-12-15 12:34:51
419,365600,29,2024-06-26 22:35:42
419,371000,89,2024-05-27 14:52:45
419,396298,89,2025-04-19 19:51:17
419,404276,44,2024-10-12 03:38:18
419,412793,18,2024-09-07 14:35:25
419,435870,58,2025-03-04 07:09:23
419,437539,96,2024-08-11 04:11:22
419,439738,23,2024-10-19 00:05:44
419,443117,8,2024-10-29 11:54:54
419,455284,88,2024-08-11 08:53:01
419,461511,9,2024-05-11 18:58:04
419,461587,78,2024-10-15 19:48:54
419,462934,94,2024-05-12 14:37:58
419,466310,88,2025-01-31 12:07:55
419,468465,14,2025-04-23 09:18:28
419,476357,4,2025-04-09 15:49:24
419,481410,57,2024-05-19 16:04:32
419,482703,49,2025-03-25 19:05:39
419,483058,8,2025-01-20 09:07:12
419,505326,96,2024-05-20 05:00:17
419,519509,79,2024-11-03 16:04:58
419,520791,42,2024-07-23 04:16:44
419,523522,38,2025-02-11 18:06:43
