ma_don,ngay_dat_hang,ma_khach_hang
99861,2025-04-29 12:05:52,4455
100340,2025-04-29 12:03:47,8705
100535,2025-04-29 12:03:09,5315
101140,2025-04-29 12:04:44,2972
101427,2025-04-29 12:06:53,6651
103199,2025-04-29 12:05:02,8779
104474,2025-04-29 12:06:07,4194
104837,2025-04-29 12:03:02,5879
105472,2025-04-29 12:03:28,5481
105905,2025-04-29 12:05:56,1825
106269,2025-04-29 12:03:21,677
106279,2025-04-29 12:05:57,3415
107275,2025-04-29 12:05:51,7812
107373,2025-04-29 12:05:39,679
108636,2025-04-29 12:08:32,505
109934,2025-04-29 12:05:10,3928
110958,2025-04-29 12:04:50,7803
112634,2025-04-29 12:06:22,7803
113908,2025-04-29 12:07:14,4263
114061,2025-04-29 12:03:20,7115
114156,2025-04-29 12:08:23,2426
116299,2025-04-29 12:02:42,9494
116898,2025-04-29 12:06:05,7596
117426,2025-04-29 12:06:26,3607
118771,2025-04-29 12:02:56,3972
119665,2025-04-29 12:02:40,2542
119772,2025-04-29 12:03:04,383
123703,2025-04-29 12:05:14,1411
124314,2025-04-29 12:04:08,6186
124716,2025-04-29 12:05:22,1931
125256,2025-04-29 12:07:33,7271
126087,2025-04-29 12:04:53,1796
126843,2025-04-29 12:06:38,8826
127970,2025-04-29 12:02:46,8139
130531,2025-04-29 12:04:37,320
131869,2025-04-29 12:05:12,8231
132748,2025-04-29 12:06:44,5290
132964,2025-04-29 12:06:58,7964
135206,2025-04-29 12:04:14,7255
136311,2025-04-29 12:03:02,7811
137821,2025-04-29 12:05:45,8085
138057,2025-04-29 12:07:11,2274
138131,2025-04-29 12:06:45,3123
138380,2025-04-29 12:06:54,8983
139047,2025-04-29 12:07:25,9463
139804,2025-04-29 12:06:43,2009
141267,2025-04-29 12:03:11,2836
144640,2025-04-29 12:04:59,6532
145072,2025-04-29 12:03:19,9914
145645,2025-04-29 12:06:59,1046
148577,2025-04-29 12:06:16,1283
151297,2025-04-29 12:03:35,128
152183,2025-04-29 12:07:03,936
153623,2025-04-29 12:03:35,4960
156297,2025-04-29 12:06:43,5797
156409,2025-04-29 12:03:13,7045
156541,2025-04-29 12:06:41,1979
156998,2025-04-29 12:04:25,5930
157188,2025-04-29 12:05:29,4346
157995,2025-04-29 12:05:31,4907
158600,2025-04-29 12:06:20,378
158915,2025-04-29 12:07:31,945
159717,2025-04-29 12:08:32,3635
160113,2025-04-29 12:06:39,4838
162702,2025-04-29 12:06:41,4437
163819,2025-04-29 12:07:29,6189
165498,2025-04-29 12:04:00,4805
165782,2025-04-29 12:04:36,1867
166495,2025-04-29 12:08:08,4408
166631,2025-04-29 12:07:18,6166
167800,2025-04-29 12:07:29,2800
168629,2025-04-29 12:04:59,1192
169319,2025-04-29 12:08:28,9061
170277,2025-04-29 12:06:00,384
171368,2025-04-29 12:08:31,5535
171758,2025-04-29 12:03:37,8300
172825,2025-04-29 12:04:58,6700
173454,2025-04-29 12:08:04,9777
174736,2025-04-29 12:08:38,9597
175073,2025-04-29 12:04:19,6488
175578,2025-04-29 12:04:45,1114
176475,2025-04-29 12:03:44,5167
176929,2025-04-29 12:08:36,6536
177287,2025-04-29 12:05:17,1583
177548,2025-04-29 12:03:26,4037
178857,2025-04-29 12:05:13,9363
183172,2025-04-29 12:04:52,9774
184333,2025-04-29 12:08:36,6857
187345,2025-04-29 12:07:55,4091
187421,2025-04-29 12:07:47,9827
189095,2025-04-29 12:08:31,1784
189337,2025-04-29 12:05:39,1292
190402,2025-04-29 12:04:12,6335
190505,2025-04-29 12:08:04,8875
192273,2025-04-29 12:08:11,4402
196092,2025-04-29 12:07:43,7178
196232,2025-04-29 12:04:00,4913
197222,2025-04-29 12:06:08,1583
198072,2025-04-29 12:03:47,5935
198211,2025-04-29 12:04:26,3301
198447,2025-04-29 12:05:04,769
198867,2025-04-29 12:02:50,1434
199223,2025-04-29 12:05:02,6462
200107,2025-04-29 12:07:42,1224
200493,2025-04-29 12:04:22,1782
200968,2025-04-29 12:08:09,8529
203646,2025-04-29 12:02:45,8914
203797,2025-04-29 12:07:18,3681
205794,2025-04-29 12:02:48,1102
207822,2025-04-29 12:04:36,767
209858,2025-04-29 12:07:55,7992
210946,2025-04-29 12:07:52,8034
211954,2025-04-29 12:02:53,6087
212632,2025-04-29 12:07:09,8492
213242,2025-04-29 12:07:36,7277
214985,2025-04-29 12:07:20,1271
215170,2025-04-29 12:05:31,4517
216248,2025-04-29 12:04:57,3432
216416,2025-04-29 12:07:34,9402
216953,2025-04-29 12:03:03,7576
217853,2025-04-29 12:04:33,4947
218671,2025-04-29 12:04:29,2022
218787,2025-04-29 12:08:07,9186
218829,2025-04-29 12:06:10,6577
219291,2025-04-29 12:02:53,2633
219641,2025-04-29 12:04:27,3320
220069,2025-04-29 12:05:56,6262
220822,2025-04-29 12:04:45,6901
222374,2025-04-29 12:07:54,2656
224190,2025-04-29 12:07:20,7281
225387,2025-04-29 12:07:00,1754
225689,2025-04-29 12:05:05,5524
227719,2025-04-29 12:04:28,4169
229221,2025-04-29 12:03:14,2241
229270,2025-04-29 12:05:59,7816
229613,2025-04-29 12:06:51,5253
231159,2025-04-29 12:07:00,9500
231560,2025-04-29 12:06:27,9632
237310,2025-04-29 12:07:23,7128
238318,2025-04-29 12:05:21,6174
240929,2025-04-29 12:07:39,7092
241038,2025-04-29 12:05:58,5558
241164,2025-04-29 12:08:31,157
241792,2025-04-29 12:04:56,2635
242833,2025-04-29 12:04:40,600
244419,2025-04-29 12:06:54,7549
244593,2025-04-29 12:05:52,7556
245145,2025-04-29 12:07:43,6299
246426,2025-04-29 12:08:38,2469
246464,2025-04-29 12:07:41,1641
247784,2025-04-29 12:07:17,7527
251747,2025-04-29 12:06:02,5550
251835,2025-04-29 12:02:41,9442
252654,2025-04-29 12:07:32,108
257159,2025-04-29 12:05:38,6863
258194,2025-04-29 12:03:31,8708
264618,2025-04-29 12:05:25,5567
265027,2025-04-29 12:03:40,4969
265566,2025-04-29 12:06:13,2202
266181,2025-04-29 12:08:10,6203
267253,2025-04-29 12:02:58,9103
269091,2025-04-29 12:04:39,6910
270949,2025-04-29 12:08:29,7423
271462,2025-04-29 12:08:22,3316
275258,2025-04-29 12:04:23,662
275643,2025-04-29 12:04:06,1089
277433,2025-04-29 12:06:48,8510
278632,2025-04-29 12:03:57,1314
279285,2025-04-29 12:03:53,8711
279635,2025-04-29 12:03:52,2609
281263,2025-04-29 12:05:15,9003
282229,2025-04-29 12:08:01,5389
282762,2025-04-29 12:06:35,5755
282770,2025-04-29 12:08:12,7626
284173,2025-04-29 12:02:43,7495
284323,2025-04-29 12:03:30,2776
285020,2025-04-29 12:04:28,298
285695,2025-04-29 12:02:49,3257
286270,2025-04-29 12:05:33,7201
286559,2025-04-29 12:08:10,1703
287272,2025-04-29 12:05:43,8652
287560,2025-04-29 12:07:55,6907
289225,2025-04-29 12:03:50,4419
289800,2025-04-29 12:06:43,5668
293173,2025-04-29 12:05:58,8979
293672,2025-04-29 12:07:05,1380
294977,2025-04-29 12:05:31,1021
296475,2025-04-29 12:03:17,397
297491,2025-04-29 12:02:42,2031
298710,2025-04-29 12:06:10,4703
299727,2025-04-29 12:03:43,1945
301711,2025-04-29 12:06:52,3627
302455,2025-04-29 12:07:56,9164
302672,2025-04-29 12:06:33,4591
303073,2025-04-29 12:03:02,1742
305561,2025-04-29 12:07:31,6550
305752,2025-04-29 12:04:20,644
305784,2025-04-29 12:06:19,9910
305978,2025-04-29 12:02:40,845
307915,2025-04-29 12:03:11,8898
308987,2025-04-29 12:07:09,3530
309335,2025-04-29 12:05:52,2370
309401,2025-04-29 12:05:32,6932
309776,2025-04-29 12:08:22,990
309871,2025-04-29 12:04:34,4639
310217,2025-04-29 12:02:53,3868
311667,2025-04-29 12:03:31,7175
315226,2025-04-29 12:06:05,6638
315478,2025-04-29 12:08:30,9189
317086,2025-04-29 12:06:17,6761
317248,2025-04-29 12:06:33,1260
318518,2025-04-29 12:05:50,8267
318846,2025-04-29 12:06:11,4890
318858,2025-04-29 12:06:05,9274
321732,2025-04-29 12:07:56,9601
323360,2025-04-29 12:05:40,6887
323790,2025-04-29 12:06:29,1506
324346,2025-04-29 12:03:14,2788
326253,2025-04-29 12:08:35,3399
327303,2025-04-29 12:04:38,6165
327720,2025-04-29 12:08:05,6845
331088,2025-04-29 12:07:42,8526
332517,2025-04-29 12:04:12,775
333909,2025-04-29 12:07:53,6415
334362,2025-04-29 12:03:28,2652
334536,2025-04-29 12:06:00,1556
336588,2025-04-29 12:04:40,6372
339076,2025-04-29 12:05:27,9294
339449,2025-04-29 12:03:11,1
339528,2025-04-29 12:04:33,3650
339655,2025-04-29 12:08:25,4309
343920,2025-04-29 12:08:27,1852
343995,2025-04-29 12:06:37,6803
345006,2025-04-29 12:05:15,2329
345353,2025-04-29 12:08:22,2333
347658,2025-04-29 12:03:20,7272
348225,2025-04-29 12:03:01,396
349537,2025-04-29 12:03:25,7582
350346,2025-04-29 12:03:47,4055
356289,2025-04-29 12:07:59,2670
357128,2025-04-29 12:04:36,4645
357395,2025-04-29 12:04:09,6867
357732,2025-04-29 12:06:45,9495
359678,2025-04-29 12:04:57,1205
360414,2025-04-29 12:04:45,7927
360777,2025-04-29 12:05:53,7971
361049,2025-04-29 12:04:35,6463
361938,2025-04-29 12:06:04,7668
366169,2025-04-29 12:03:33,4442
366536,2025-04-29 12:08:34,3311
366650,2025-04-29 12:08:22,7364
366769,2025-04-29 12:06:38,3659
373186,2025-04-29 12:06:03,6409
373238,2025-04-29 12:06:43,5046
373341,2025-04-29 12:06:21,217
373672,2025-04-29 12:04:17,4459
375610,2025-04-29 12:04:59,7514
376817,2025-04-29 12:02:49,5245
377453,2025-04-29 12:08:21,9581
380031,2025-04-29 12:08:09,9650
383083,2025-04-29 12:07:12,8160
383284,2025-04-29 12:04:58,5817
383682,2025-04-29 12:08:33,8226
383790,2025-04-29 12:04:02,6285
383852,2025-04-29 12:06:04,2853
383871,2025-04-29 12:06:45,1807
384219,2025-04-29 12:04:50,7961
384354,2025-04-29 12:06:33,6841
385738,2025-04-29 12:05:15,4993
385971,2025-04-29 12:03:58,4254
387808,2025-04-29 12:03:22,9276
391057,2025-04-29 12:03:01,5490
391276,2025-04-29 12:05:53,7147
391387,2025-04-29 12:04:35,4368
391846,2025-04-29 12:05:39,5727
392371,2025-04-29 12:08:16,8156
395172,2025-04-29 12:06:33,4622
395424,2025-04-29 12:05:05,5537
395791,2025-04-29 12:05:45,4249
395889,2025-04-29 12:07:55,2340
396566,2025-04-29 12:08:39,9656
398807,2025-04-29 12:07:34,6184
399573,2025-04-29 12:05:47,5690
400793,2025-04-29 12:06:42,9211
401727,2025-04-29 12:05:20,2479
403459,2025-04-29 12:05:06,1851
405079,2025-04-29 12:06:27,8550
407500,2025-04-29 12:03:48,6001
408002,2025-04-29 12:03:06,2716
408232,2025-04-29 12:08:32,1166
408630,2025-04-29 12:06:02,3709
409009,2025-04-29 12:03:25,7152
410233,2025-04-29 12:08:39,3034
412827,2025-04-29 12:05:27,7768
413708,2025-04-29 12:05:06,2141
414436,2025-04-29 12:03:29,774
416264,2025-04-29 12:04:07,2523
416882,2025-04-29 12:06:07,6428
418060,2025-04-29 12:03:03,530
418128,2025-04-29 12:07:18,6794
419989,2025-04-29 12:04:28,1210
422341,2025-04-29 12:05:32,9814
422599,2025-04-29 12:06:20,5474
422926,2025-04-29 12:08:39,4857
424484,2025-04-29 12:03:48,9714
424543,2025-04-29 12:06:30,2143
425219,2025-04-29 12:07:23,2317
425906,2025-04-29 12:03:59,1078
427402,2025-04-29 12:06:18,3622
428837,2025-04-29 12:03:11,5555
429569,2025-04-29 12:06:24,3853
429940,2025-04-29 12:03:23,4702
430232,2025-04-29 12:06:47,8031
430394,2025-04-29 12:03:52,2716
430876,2025-04-29 12:02:51,4412
431601,2025-04-29 12:04:59,7572
431938,2025-04-29 12:05:54,9606
435894,2025-04-29 12:07:06,1088
436420,2025-04-29 12:07:05,6453
439179,2025-04-29 12:06:38,9092
440646,2025-04-29 12:03:52,9179
440822,2025-04-29 12:06:01,2684
443014,2025-04-29 12:07:57,9555
443069,2025-04-29 12:04:24,284
443880,2025-04-29 12:05:01,4619
444132,2025-04-29 12:03:20,4814
444392,2025-04-29 12:07:32,1667
446545,2025-04-29 12:06:22,682
448379,2025-04-29 12:04:43,9912
449487,2025-04-29 12:07:11,9216
449895,2025-04-29 12:07:27,5733
452812,2025-04-29 12:06:22,2231
452858,2025-04-29 12:04:35,1788
453016,2025-04-29 12:03:45,9902
453235,2025-04-29 12:07:37,2657
455959,2025-04-29 12:06:57,6612
457089,2025-04-29 12:08:03,5449
457180,2025-04-29 12:05:20,6851
458050,2025-04-29 12:05:42,8928
458271,2025-04-29 12:07:16,5423
458539,2025-04-29 12:05:52,5072
458936,2025-04-29 12:02:43,6632
458973,2025-04-29 12:04:46,1577
459336,2025-04-29 12:06:51,5355
461130,2025-04-29 12:06:15,7566
462036,2025-04-29 12:06:01,374
467112,2025-04-29 12:08:17,7310
467295,2025-04-29 12:07:22,8108
467524,2025-04-29 12:04:50,6490
470117,2025-04-29 12:08:20,3028
471097,2025-04-29 12:04:25,5667
471919,2025-04-29 12:08:39,1427
472142,2025-04-29 12:07:23,8204
472487,2025-04-29 12:05:24,6018
472788,2025-04-29 12:08:27,3926
473262,2025-04-29 12:07:58,1040
475391,2025-04-29 12:04:44,5231
478181,2025-04-29 12:05:53,5812
479568,2025-04-29 12:07:10,6004
479754,2025-04-29 12:06:42,3137
480571,2025-04-29 12:03:23,5498
483321,2025-04-29 12:05:00,9274
483857,2025-04-29 12:04:26,6949
484611,2025-04-29 12:04:59,2284
484890,2025-04-29 12:03:10,6268
485566,2025-04-29 12:02:59,8249
485976,2025-04-29 12:04:49,2886
486068,2025-04-29 12:06:14,7418
487907,2025-04-29 12:03:48,509
488364,2025-04-29 12:03:21,9398
488680,2025-04-29 12:02:53,6200
489305,2025-04-29 12:06:49,2599
490534,2025-04-29 12:07:47,3247
491153,2025-04-29 12:07:07,3643
494299,2025-04-29 12:05:16,9873
494606,2025-04-29 12:04:07,7672
494979,2025-04-29 12:04:52,6230
497201,2025-04-29 12:03:48,6115
498108,2025-04-29 12:08:33,7999
498257,2025-04-29 12:06:11,1558
498408,2025-04-29 12:04:59,9463
498754,2025-04-29 12:05:38,1766
499085,2025-04-29 12:03:36,6796
499857,2025-04-29 12:08:33,3652
499940,2025-04-29 12:03:23,5130
500677,2025-04-29 12:06:10,5726
501682,2025-04-29 12:08:14,1822
502275,2025-04-29 12:02:50,9325
502390,2025-04-29 12:05:43,6896
504993,2025-04-29 12:02:51,9947
505627,2025-04-29 12:05:50,2395
506844,2025-04-29 12:04:40,6118
507004,2025-04-29 12:05:36,8607
507183,2025-04-29 12:04:07,4698
507778,2025-04-29 12:04:06,3534
508228,2025-04-29 12:08:26,6526
508669,2025-04-29 12:02:47,3082
508777,2025-04-29 12:05:03,1104
508793,2025-04-29 12:07:18,5867
509751,2025-04-29 12:07:46,5248
511243,2025-04-29 12:08:39,8289
512652,2025-04-29 12:07:57,2250
512658,2025-04-29 12:04:33,7680
514903,2025-04-29 12:04:44,8449
514990,2025-04-29 12:04:48,611
517420,2025-04-29 12:03:42,1485
519881,2025-04-29 12:03:43,527
521654,2025-04-29 12:03:04,1494
522650,2025-04-29 12:08:09,7307
522824,2025-04-29 12:06:41,6311
528128,2025-04-29 12:03:08,4087
528735,2025-04-29 12:04:39,8839
529467,2025-04-29 12:05:49,904
529931,2025-04-29 12:07:44,5636
531011,2025-04-29 12:05:04,6147
531705,2025-04-29 12:07:04,8466
532069,2025-04-29 12:08:07,8150
532459,2025-04-29 12:04:01,2679
533649,2025-04-29 12:06:41,3402
535685,2025-04-29 12:03:40,4850
536120,2025-04-29 12:05:01,1562
536368,2025-04-29 12:07:44,713
537411,2025-04-29 12:07:30,3640
540315,2025-04-29 12:07:19,3820
541042,2025-04-29 12:07:51,9590
541998,2025-04-29 12:08:04,7834
542029,2025-04-29 12:05:21,930
544123,2025-04-29 12:05:32,121
544153,2025-04-29 12:04:52,3309
544347,2025-04-29 12:06:46,9127
545247,2025-04-29 12:08:11,3703
547941,2025-04-29 12:06:43,6239
548082,2025-04-29 12:03:07,4080
548476,2025-04-29 12:03:52,3718
549463,2025-04-29 12:05:42,6478
549678,2025-04-29 12:04:25,8887
550132,2025-04-29 12:03:32,7372
550597,2025-04-29 12:08:28,9048
551015,2025-04-29 12:08:12,1928
551260,2025-04-29 12:08:11,3766
551542,2025-04-29 12:05:39,3833
552387,2025-04-29 12:08:00,5725
553457,2025-04-29 12:07:45,8999
553947,2025-04-29 12:08:06,3803
554874,2025-04-29 12:05:00,8868
555363,2025-04-29 12:07:15,1713
555672,2025-04-29 12:07:22,4591
555699,2025-04-29 12:03:14,4725
557141,2025-04-29 12:06:05,4778
557725,2025-04-29 12:05:03,9025
560922,2025-04-29 12:05:34,846
561040,2025-04-29 12:04:25,5179
561958,2025-04-29 12:03:47,5018
562027,2025-04-29 12:05:51,2135
562448,2025-04-29 12:06:53,7737
563501,2025-04-29 12:04:52,240
563798,2025-04-29 12:05:55,7072
564242,2025-04-29 12:04:16,2963
564786,2025-04-29 12:06:05,1327
567213,2025-04-29 12:04:47,2629
567521,2025-04-29 12:06:50,3708
568171,2025-04-29 12:03:04,683
568438,2025-04-29 12:05:48,1049
568468,2025-04-29 12:02:47,4002
569091,2025-04-29 12:03:16,587
571781,2025-04-29 12:07:47,9576
571853,2025-04-29 12:04:10,7717
572582,2025-04-29 12:06:31,8712
574348,2025-04-29 12:03:38,7013
575038,2025-04-29 12:03:27,2478
575674,2025-04-29 12:07:54,5458
575935,2025-04-29 12:02:44,1076
576721,2025-04-29 12:05:00,8743
576880,2025-04-29 12:05:26,4406
577683,2025-04-29 12:03:48,3466
578063,2025-04-29 12:04:09,7148
580141,2025-04-29 12:05:20,8771
581406,2025-04-29 12:04:48,1692
582373,2025-04-29 12:07:50,4915
583370,2025-04-29 12:06:27,3503
583458,2025-04-29 12:07:59,8349
584074,2025-04-29 12:02:52,7179
584362,2025-04-29 12:03:23,7775
584790,2025-04-29 12:05:19,8183
585241,2025-04-29 12:05:51,5802
585930,2025-04-29 12:07:56,5274
586994,2025-04-29 12:05:29,6106
587170,2025-04-29 12:05:02,4488
589694,2025-04-29 12:04:39,2613
591378,2025-04-29 12:03:05,3571
592536,2025-04-29 12:07:02,2781
592771,2025-04-29 12:03:50,1413
593329,2025-04-29 12:08:08,5681
596779,2025-04-29 12:04:20,3457
597009,2025-04-29 12:03:15,5193
597414,2025-04-29 12:03:56,7086
598019,2025-04-29 12:02:47,6753
598580,2025-04-29 12:04:00,9963
599089,2025-04-29 12:06:51,6314
599267,2025-04-29 12:06:19,5292
600104,2025-04-29 12:07:58,6144
601366,2025-04-29 12:04:29,7579
602168,2025-04-29 12:03:46,7377
603606,2025-04-29 12:05:56,7928
604920,2025-04-29 12:04:45,5676
610000,2025-04-29 12:06:13,6113
610660,2025-04-29 12:07:41,9149
610981,2025-04-29 12:07:46,5217
613055,2025-04-29 12:07:26,1286
613282,2025-04-29 12:08:00,4526
615653,2025-04-29 12:07:08,7434
615735,2025-04-29 12:07:29,8635
618450,2025-04-29 12:04:05,460
619051,2025-04-29 12:03:54,3335
624106,2025-04-29 12:04:12,222
624298,2025-04-29 12:07:32,1731
624881,2025-04-29 12:04:19,6652
629227,2025-04-29 12:07:07,8799
629940,2025-04-29 12:08:27,6765
630357,2025-04-29 12:08:20,25
630712,2025-04-29 12:05:13,5250
631668,2025-04-29 12:04:18,2508
633372,2025-04-29 12:06:32,6765
636083,2025-04-29 12:05:28,8475
636955,2025-04-29 12:08:39,5144
637147,2025-04-29 12:04:57,1829
639618,2025-04-29 12:04:05,2139
641028,2025-04-29 12:08:16,8707
641849,2025-04-29 12:07:37,9491
642962,2025-04-29 12:06:56,1394
644117,2025-04-29 12:05:29,2958
644228,2025-04-29 12:03:04,5326
644546,2025-04-29 12:07:12,2984
646671,2025-04-29 12:03:37,9568
647184,2025-04-29 12:07:09,1653
647559,2025-04-29 12:04:52,2779
647771,2025-04-29 12:06:11,7621
648180,2025-04-29 12:04:25,8714
649603,2025-04-29 12:06:36,6042
650806,2025-04-29 12:04:14,8794
651167,2025-04-29 12:07:29,5656
653303,2025-04-29 12:05:54,2982
653377,2025-04-29 12:04:26,996
653694,2025-04-29 12:05:17,3109
655419,2025-04-29 12:03:37,486
657603,2025-04-29 12:08:29,432
659364,2025-04-29 12:03:16,3753
659691,2025-04-29 12:06:03,6190
659745,2025-04-29 12:05:11,3194
660542,2025-04-29 12:07:25,407
661021,2025-04-29 12:03:32,827
661206,2025-04-29 12:05:44,4488
662210,2025-04-29 12:08:16,6016
662524,2025-04-29 12:03:18,9443
663178,2025-04-29 12:06:27,3055
663453,2025-04-29 12:06:52,7405
664560,2025-04-29 12:07:26,6423
666741,2025-04-29 12:03:18,7098
669682,2025-04-29 12:04:59,6191
671222,2025-04-29 12:07:50,6099
672703,2025-04-29 12:03:12,4751
673744,2025-04-29 12:03:00,1655
674382,2025-04-29 12:06:16,5675
678735,2025-04-29 12:03:15,9251
679323,2025-04-29 12:04:26,1424
680313,2025-04-29 12:07:33,6158
683410,2025-04-29 12:06:28,375
683819,2025-04-29 12:07:03,1628
686503,2025-04-29 12:04:34,9618
686652,2025-04-29 12:02:41,2574
687154,2025-04-29 12:07:23,8880
687311,2025-04-29 12:03:49,7160
688967,2025-04-29 12:05:21,3874
689056,2025-04-29 12:04:48,4706
689747,2025-04-29 12:02:55,2867
691213,2025-04-29 12:04:05,6204
693198,2025-04-29 12:03:39,4902
695424,2025-04-29 12:08:38,1532
696692,2025-04-29 12:08:28,3945
698420,2025-04-29 12:08:19,5629
698689,2025-04-29 12:07:17,3905
701302,2025-04-29 12:03:07,5070
702444,2025-04-29 12:07:17,2245
702741,2025-04-29 12:07:44,6767
703264,2025-04-29 12:06:33,3907
704375,2025-04-29 12:06:18,2223
705418,2025-04-29 12:07:15,5604
707177,2025-04-29 12:05:16,8846
709850,2025-04-29 12:03:48,8948
710349,2025-04-29 12:08:11,260
713177,2025-04-29 12:07:13,1410
713231,2025-04-29 12:02:54,2704
713655,2025-04-29 12:04:06,2652
716693,2025-04-29 12:05:32,833
718684,2025-04-29 12:03:24,1376
718798,2025-04-29 12:07:56,8223
720149,2025-04-29 12:07:52,5958
720697,2025-04-29 12:06:18,725
721036,2025-04-29 12:06:01,2919
721301,2025-04-29 12:02:54,645
723200,2025-04-29 12:05:18,2393
725542,2025-04-29 12:07:43,4194
725626,2025-04-29 12:04:28,6712
726600,2025-04-29 12:05:29,2613
726898,2025-04-29 12:05:39,3915
729498,2025-04-29 12:04:33,555
730140,2025-04-29 12:04:12,5392
732172,2025-04-29 12:02:56,5191
734143,2025-04-29 12:05:11,1095
737619,2025-04-29 12:06:15,5574
741003,2025-04-29 12:02:46,9495
741943,2025-04-29 12:06:02,5462
744229,2025-04-29 12:02:51,9998
745300,2025-04-29 12:06:40,5953
745348,2025-04-29 12:06:11,6121
746267,2025-04-29 12:05:33,922
746552,2025-04-29 12:04:53,3590
747312,2025-04-29 12:05:45,3619
747700,2025-04-29 12:03:37,5615
748764,2025-04-29 12:03:03,1130
757795,2025-04-29 12:05:18,9558
761035,2025-04-29 12:07:43,5790
761191,2025-04-29 12:03:41,2544
761258,2025-04-29 12:03:32,2367
761662,2025-04-29 12:07:52,4166
764082,2025-04-29 12:04:26,9217
764339,2025-04-29 12:07:08,5074
765200,2025-04-29 12:07:57,9488
765357,2025-04-29 12:07:45,2293
766479,2025-04-29 12:08:03,8421
766530,2025-04-29 12:08:04,7292
767446,2025-04-29 12:08:40,4871
767763,2025-04-29 12:04:02,5999
769702,2025-04-29 12:07:08,70
771360,2025-04-29 12:05:20,8826
772528,2025-04-29 12:06:01,2890
773102,2025-04-29 12:07:56,525
773148,2025-04-29 12:07:31,3830
773483,2025-04-29 12:08:21,8369
774605,2025-04-29 12:05:38,9823
777458,2025-04-29 12:04:23,2705
777490,2025-04-29 12:02:46,6790
778694,2025-04-29 12:05:11,4222
781807,2025-04-29 12:06:28,9720
782967,2025-04-29 12:04:09,4634
784924,2025-04-29 12:02:57,3617
787528,2025-04-29 12:07:55,5802
792150,2025-04-29 12:07:12,2971
792222,2025-04-29 12:03:09,6195
794201,2025-04-29 12:06:13,6881
795281,2025-04-29 12:08:07,3150
795313,2025-04-29 12:06:57,581
795362,2025-04-29 12:05:25,7234
